MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,287,OLE,0.11
CB6R3_AE7,287,PAR,5.3
CB6R3_AE7,287,TOL,0.098
CB6R3_AE7,287,UNR,1.52
CB6R3_AE7,287,XYLMN,0.074
CB6R3_AE7,288,IOLE,0.0016
CB6R3_AE7,288,OLE,0.11
CB6R3_AE7,288,PAR,5.3
CB6R3_AE7,288,TOL,0.098
CB6R3_AE7,288,UNR,1.52
CB6R3_AE7,288,XYLMN,0.074
CB6R3_AE7,289,BENZ,0.0351
CB6R3_AE7,289,ETHA,0.0168
CB6R3_AE7,289,IOLE,0.0425
CB6R3_AE7,289,OLE,0.0385
CB6R3_AE7,289,PAR,3.6089
CB6R3_AE7,289,TOL,0.0234
CB6R3_AE7,289,UNR,0.0592
CB6R3_AE7,289,XYLMN,0.0056
CB6R3_AE7,290,PAR,8.65
CB6R3_AE7,290,UNR,0.0439
CB6R3_AE7,291,KET,1
CB6R3_AE7,291,OLE,1
CB6R3_AE7,291,PAR,1
CB6R3_AE7,293,NVOL,1
CB6R3_AE7,295,PAR,6
CB6R3_AE7,295,UNR,1
CB6R3_AE7,297,IVOC,1
CB6R3_AE7,299,OLE,1
CB6R3_AE7,299,TOL,1
CB6R3_AE7,301,TOL,1
CB6R3_AE7,302,BENZ,1
CB6R3_AE7,303,IVOC,1
CB6R3_AE7,304,IVOC,1
CB6R3_AE7,305,IVOC,1
CB6R3_AE7,306,IVOC,1
CB6R3_AE7,308,UNR,1
CB6R3_AE7,309,PAR,4
CB6R3_AE7,310,IVOC,1
CB6R3_AE7,311,IVOC,1
CB6R3_AE7,312,PAR,10
CB6R3_AE7,313,ALDX,1
CB6R3_AE7,313,PAR,2
CB6R3_AE7,314,IVOC,1
CB6R3_AE7,315,PAR,2.045
CB6R3_AE7,315,TOL,0.061
CB6R3_AE7,315,UNR,0.0156
CB6R3_AE7,315,XYLMN,0.939
CB6R3_AE7,316,IOLE,0.8
CB6R3_AE7,316,OLE,0.2
CB6R3_AE7,316,PAR,6.4
CB6R3_AE7,317,IVOC,1
CB6R3_AE7,318,IVOC,1
CB6R3_AE7,319,IOLE,1
CB6R3_AE7,319,PAR,7
CB6R3_AE7,320,IVOC,1
CB6R3_AE7,321,IVOC,1
CB6R3_AE7,322,ETHA,0.011
CB6R3_AE7,322,OLE,0.0191
CB6R3_AE7,322,PAR,0.0713
CB6R3_AE7,322,PRPA,0.9521
CB6R3_AE7,323,ALDX,1
CB6R3_AE7,323,PAR,3
CB6R3_AE7,324,ALDX,1
CB6R3_AE7,324,PAR,4
CB6R3_AE7,325,PAR,7.857
CB6R3_AE7,325,UNR,0.1429
CB6R3_AE7,326,PAR,1.286
CB6R3_AE7,326,TOL,0.2857
CB6R3_AE7,326,XYLMN,0.7143
CB6R3_AE7,327,PAR,10.38
CB6R3_AE7,330,IVOC,1
CB6R3_AE7,331,IVOC,1
CB6R3_AE7,332,UNR,1
CB6R3_AE7,333,UNR,1
CB6R3_AE7,335,UNR,1
CB6R3_AE7,336,PAR,3
CB6R3_AE7,336,UNR,6
CB6R3_AE7,338,NVOL,1
CB6R3_AE7,340,PAR,1
CB6R3_AE7,340,UNR,5
CB6R3_AE7,341,UNR,1
CB6R3_AE7,342,UNR,2
CB6R3_AE7,343,UNR,1
CB6R3_AE7,344,UNR,1
CB6R3_AE7,345,NVOL,1
CB6R3_AE7,346,IVOC,1
CB6R3_AE7,348,PAR,9
CB6R3_AE7,349,PAR,9
CB6R3_AE7,350,PAR,9
CB6R3_AE7,351,PAR,8
CB6R3_AE7,352,PAR,8
CB6R3_AE7,353,PAR,7
CB6R3_AE7,354,PAR,8
CB6R3_AE7,355,PAR,8
CB6R3_AE7,356,PAR,9
CB6R3_AE7,357,PAR,8
CB6R3_AE7,358,PAR,8
CB6R3_AE7,359,PAR,9
CB6R3_AE7,360,PAR,7
CB6R3_AE7,361,PAR,9
CB6R3_AE7,362,PAR,8
CB6R3_AE7,363,PAR,9
CB6R3_AE7,364,PAR,8
CB6R3_AE7,365,PAR,9
CB6R3_AE7,367,IOLE,1
CB6R3_AE7,368,IOLE,1
CB6R3_AE7,368,PAR,3
CB6R3_AE7,369,IOLE,1
CB6R3_AE7,369,PAR,2
CB6R3_AE7,370,IOLE,1
CB6R3_AE7,370,PAR,4
CB6R3_AE7,371,IOLE,1
CB6R3_AE7,371,PAR,1
CB6R3_AE7,372,IOLE,1
CB6R3_AE7,372,PAR,2
