PROFILE_CODE,SPECIES_ID,WEIGHT_PERCENT
96002,1082,0.045560271
96002,3024,0.045560271
96002,369,0.043162362
96002,442,0.064743544
96002,601,0.064743544
96002,486,0.040764453
96002,2564,0.055151908
96002,3026,0.035968635
96002,996,0.035968635
96002,65,0.007193727
96002,491,0.050356089
96002,2812,0.033570726
96002,3031,0.035968635
96002,371,0.088722634
96002,3022,0.028774908
96002,388,0.031172817
96002,2643,0.040764453
96002,3037,0.031172817
96002,2698,0.031172817
96002,600,0.057549817
96002,604,0.04795818
96002,106,0.026376999
96002,1012,0.026376999
96002,596,0.026376999
96002,2023,0.057549817
96002,3007,0.02397909
96002,2160,0.354890535
96002,605,0.064743544
96002,3025,0.02397909
96002,2641,0.021581181
96002,542,0.02397909
96002,3009,0.021581181
96002,3011,0.019183272
96002,3012,0.019183272
96002,1886,0.019183272
96002,2335,0.021581181
96002,80,0.021581181
96002,84,0.019183272
96002,53,0.019183272
96002,3000,0.016785363
96002,2144,0.016785363
96002,3021,0.016785363
96002,1036,0.019183272
96002,608,0.021581181
96002,3035,0.016785363
96002,3,0.016785363
96002,92,0.016785363
96002,3014,0.011989545
96002,3023,0.019183272
96002,1118,0.011989545
96002,3002,0.014387454
96002,3030,0.011989545
96002,485,0.014387454
96002,2684,0.011989545
96002,1001,0.014387454
96002,3016,0.009591636
96002,103,0.009591636
96002,248,0.043162362
96002,550,0.009591636
96002,39,0.009591636
96002,3038,0.009591636
96002,3039,0.011989545
96002,770,0.007193727
96002,3015,0.004795818
96002,3017,0.004795818
96002,2220,0.007193727
96002,390,0.007193727
96002,3018,0.007193727
96002,3027,0.004795818
96002,3028,0.007193727
96002,2796,0.007193727
96002,616,0.007193727
96002,3036,0.004795818
96002,2084,0.007193727
96002,97,0.170251541
96002,316,0.007193727
96002,59,0.004795818
96002,2201,0.009591636
96002,3008,0.002397909
96002,47,0.002397909
96002,33,0.004795818
96002,3013,0.002397909
96002,3001,0.004795818
96002,3029,0.004795818
96002,385,0.004795818
96002,3003,0.002397909
96002,299,0.004795818
96002,514,0.011989545
96002,2712,0.002397909
96002,707,0
96002,127,0.002397909
96002,122,0
96002,3004,0
96002,3034,0
96002,3465,0.749370752
96002,1762,0.415907038
96002,3473,0.956025604
96002,3533,0.055909468
96002,2499,0.449817797
96002,3461,0.695489201
96002,3534,0.598742849
96002,3449,0.576641495
96002,1820,2.337768034
96002,847,0.068672876
96002,2426,0.740585859
96002,3357,0.119860989
96002,3468,0.044014379
96002,3401,0.322482475
96002,2941,0.570246033
96002,3469,0.102460983
96002,3073,0.074593436
96002,3448,0.036124494
96002,3470,0.100822657
96002,2332,0.132696311
96002,935,0.617556141
96002,3309,0.002431138
96002,3455,0.445442472
96002,3462,0.269556537
96002,3438,0.069843332
96002,3535,1.998599874
96002,556,0.188497912
96002,3446,0.397449848
96002,3458,0.070318073
96002,315,0.298729915
96002,3453,0.864112569
96002,646,2.300420013
96002,3466,0.034685205
96002,947,2.82781169
96002,997,0.012723323
96002,3471,0.222595375
96002,3402,0.416880361
96002,3077,0.12554426
96002,2206,0.034038996
96002,3425,0.041432982
96002,3358,0.056055927
96002,716,0.603421754
96002,618,2.609736902
96002,410,0.177311639
96002,3475,0.025757701
96002,3467,0.202871205
96002,3474,0.031369821
96002,3444,0.030835797
96002,3463,0.00421972
96002,3459,0.177533945
96002,3536,3.420677912
96002,3450,1.018765654
96002,3359,0.012693172
96002,3370,2.213569916
96002,3403,0.492040502
96002,3360,0.070422811
96002,3404,3.28064362
96002,3371,1.561449142
96003,529,9.682046378
96003,465,4.45254602
96003,280,6.016415651
96003,452,2.751215236
96003,1757,3.281137939
96003,531,5.010359391
96003,281,1.145509602
96003,279,2.229261296
96003,2999,1.524025819
96003,678,1.440353813
96003,282,0.621563471
96003,283,0.68132919
96003,3019,1.029962547
96003,3005,1.444338194
96003,438,1.324806758
96003,302,0.597657184
96003,663,1.59375249
96003,46,0.360586501
96003,588,0.822774723
